Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Guitar Hero: World Tour,PC,2009,Misc,0,0.03,0,0.01,0.03,,7.8,T
Super Meat Boy: Ultra Edition!,PC,2011,Platform,0,0.02,0,0.01,0.03,,,
Dr. Muto,GC,2002,Platform,0.02,0.01,0,0,0.03,63,,T
Super Heroine Chronicle,PS3,2014,Role-Playing,0,0,0.03,0,0.03,,,
Otomedius Gorgeous,X360,2008,Shooter,0,0,0.03,0,0.03,,,
Egg Mania: Eggstreme Madness,PS2,2002,Puzzle,0.02,0.01,0,0,0.03,64,,E
Alter Ego,PC,1985,Simulation,0,0.03,0,0.01,0.03,59,5.8,T
Kiniro no Corda 3,PS2,2010,Adventure,0,0,0.03,0,0.03,,,
Zero Escape: Virtue's Last Reward,3DS,2012,Adventure,0.03,0,0,0,0.03,88,8.8,M
Darkstalkers Resurrection,PS3,2013,Fighting,0,0,0.03,0,0.03,80,7.3,T
Transformers: Devastation,PC,2015,Action,0,0.03,0,0,0.03,74,7.6,T
MotoGP 15,XOne,2015,Racing,0,0.03,0,0,0.03,65,,
Highschool Terra Story,SAT,1998,Adventure,0,0,0.03,0,0.03,,,
Summer Athletics: The Ultimate Challenge,X360,2008,Sports,0.02,0.01,0,0,0.03,48,,E
The Golf Club,XOne,2014,Sports,0.03,0,0,0,0.03,64,5.4,E
Emergency! Disaster Rescue Squad,DS,2009,Simulation,0.03,0,0,0,0.03,,,
Neverwinter Nights,PC,2002,Role-Playing,0,0.03,0,0,0.03,91,8.2,T
Suggoi! Arcana Heart 2,PS2,2009,Fighting,0,0,0.03,0,0.03,,,
Crazy Machines,DS,2008,Puzzle,0,0.03,0,0,0.03,,,
Ebikore Photo Kano Kiss ,PSV,2015,Action,0,0,0.03,0,0.03,,,
East India Company Collection,PC,2010,Misc,0,0.03,0,0,0.03,,,T
Mother Goose no Himitsu no Yakata,PSP,2011,Adventure,0,0,0.03,0,0.03,,,
Fast & Furious: Showdown,X360,2013,Action,0,0.03,0,0,0.03,,,
Winning Post 7 2009,PSP,2009,Sports,0,0,0.03,0,0.03,,,
Puzzle & Action: Tant-R,GEN,1994,Misc,0,0,0.03,0,0.03,,,
Code Lyoko: Quest for Infinity,PSP,2008,Action,0.03,0,0,0,0.03,,,E10+
The Voice,PS3,2014,Action,0.02,0,0,0.01,0.03,,,
Digimon World 4,XB,2005,Role-Playing,0.02,0.01,0,0,0.03,54,8.8,E
Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,0.01,0.02,0,0,0.03,76,7.3,T
Kekkaishi: Kokubourou Shuurai,DS,2008,Action,0,0,0.03,0,0.03,,,
Galleon: Islands of Mystery,XB,2004,Action,0.02,0.01,0,0,0.03,67,7,T
Montessori Music,DS,2008,Misc,0.01,0.02,0,0,0.03,,,E
World Sports Competition,PS3,2009,Sports,0.02,0,0,0.01,0.03,,,
Shugo Chara! Amunonijiro Chara Change,DS,2008,Action,0,0,0.03,0,0.03,,,
Renai 0 Kilometer,PSP,2013,Adventure,0,0,0.03,0,0.03,,,
Sunny Garcia Surfing,PS2,2001,Sports,0.02,0.01,0,0,0.03,61,7.9,E
Far East of Eden Shinden,NG,1995,Fighting,0,0,0.03,0,0.03,,,
Tantei Jinguuji Saburo DS: Kienai Kokoro,DS,2008,Adventure,0,0,0.03,0,0.03,,,
Lock On: Modern Air Combat,PC,2003,Simulation,0,0.03,0,0.01,0.03,76,7.5,E
MotorHead,PS,1998,Racing,0.02,0.01,0,0,0.03,,,
Max & the Magic Marker,Wii,2011,Platform,0,0.03,0,0,0.03,,,
Ao no Kanata no Four Rhythm,PSV,2016,Adventure,0,0,0.03,0,0.03,,,
StormLover,PSP,2010,Adventure,0,0,0.03,0,0.03,,,
Gloria Union,PSP,2011,Role-Playing,0,0,0.03,0,0.03,,,
Gensou Suikoden I & II,PSP,2006,Role-Playing,0,0,0.03,0,0.03,,,
Worms: WMD,PS4,2016,Action,0.01,0.02,0,0,0.03,78,7.6,E10+
Shaun White Skateboarding,PC,2010,Sports,0,0.03,0,0.01,0.03,,7.3,T
Eyeshield 21: DevilBats DevilDays,GBA,2006,Role-Playing,0,0,0.03,0,0.03,,,
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014,Misc,0,0,0.03,0,0.03,,,
Jyuzaengi: Engetsu Sangokuden,PSP,2012,Action,0,0,0.03,0,0.03,,,
Ratatouille,PC,2007,Action,0.01,0.01,0,0,0.03,,7.9,E
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010,Action,0,0,0.03,0,0.03,,,
Rabbids Land,WiiU,2012,Misc,0.01,0.01,0,0,0.03,52,5.2,E10+
Dancing Blade II: Tears of Eden,PS,1999,Adventure,0,0,0.03,0,0.03,,,
Kokoro no Kokoron,DS,2011,Misc,0,0,0.03,0,0.03,,,
Hiiro no Kakera 3: Aoikuro no Kusabi,PS2,2008,Adventure,0,0,0.03,0,0.03,,,
BeatMania IIDX 13: DistorteD,PS2,2007,Simulation,0,0,0.03,0,0.03,,,
Guild Wars,PC,2005,Role-Playing,0.03,0,0,0,0.03,89,8.4,T
Go! Go! Hypergrind,GC,2003,Sports,0.02,0.01,0,0,0.03,,,
Great Edo Blacksmith,PSV,2014,Adventure,0,0,0.03,0,0.03,,,
Keshisasu-Kun: Battle Kas-tival,DS,2010,Action,0,0,0.03,0,0.03,,,
Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011,Misc,0,0,0.03,0,0.03,,,
Peak Performance,PS,1997,Racing,0.02,0.01,0,0,0.03,,,
Take On Helicopters,PC,2011,Simulation,0,0.02,0,0.01,0.03,70,6.7,T
Young Justice: Legacy,3DS,2013,Action,0.03,0,0,0,0.03,,7.1,E10+
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,2012,Adventure,0,0,0.03,0,0.03,,,
DokiDoki Majo Shinpan! 2,DS,2008,Adventure,0,0,0.03,0,0.03,,,
S.L.A.I.: Steel Lancer Arena International,PS2,2005,Simulation,0.01,0.01,0,0,0.03,66,7.8,T
Freaky Flyers,XB,2003,Racing,0.02,0.01,0,0,0.03,64,,T
Nacho Libre,DS,2006,Action,0.03,0,0,0,0.03,56,5.8,E10+
Power Rangers Super Megaforce ,3DS,2014,Action,0.01,0.01,0,0,0.03,43,,E10+
Homeworld 2,PC,2003,Strategy,0,0.03,0,0,0.03,83,8.3,T
Zoboomafoo: Leapin' Lemurs!,PS,2001,Action,0.02,0.01,0,0,0.03,,,
Rayman 3: Hoodlum Havoc,PC,2003,Platform,0,0.03,0,0,0.03,74,8.3,E
Dennou Senki Virtual-On Force,X360,2010,Fighting,0,0,0.03,0,0.03,,,
Rugby 15,X360,2015,Sports,0,0.03,0,0,0.03,,,E
Nettou! Powerful Koushien,DS,2010,Sports,0,0,0.03,0,0.03,,,
Graffiti Kingdom,PS2,2004,Role-Playing,0.01,0.01,0,0,0.03,71,7.1,E
King Arthur II,PC,2011,Strategy,0,0.03,0,0,0.03,,,
Armored Core SL: Silent Line Portable,PSP,2009,Simulation,0,0,0.03,0,0.03,,,
Looney Tunes: Galactic Sports,PSV,2015,Action,0,0.02,0,0.01,0.03,,,
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,PSP,2008,Adventure,0,0,0.03,0,0.03,,,
Combat Elite: WWII Paratroopers,XB,N/A,Shooter,0.02,0.01,0,0,0.03,56,,T
Lethal Enforcers I & II,PS,1996,Shooter,0.02,0.01,0,0,0.03,,,
Bubble Bobble Evolution,PSP,2006,Puzzle,0.03,0,0,0,0.03,47,,E
Klonoa 2: Dream Champ Tournament,GBA,2002,Platform,0.02,0.01,0,0,0.03,78,9.3,E
Who Wants to be a Millionaire: 1st Edition,DS,2007,Misc,0,0.03,0,0,0.03,,,
N+,PSP,2007,Platform,0.03,0,0,0,0.03,79,7.8,E
Minna no Golf Jou Vol.1,PSP,2007,Sports,0,0,0.03,0,0.03,,,
Ducati World Racing Challenge,PS,2001,Racing,0.02,0.01,0,0,0.03,68,,E
Super Collapse! II,GBA,2004,Puzzle,0.02,0.01,0,0,0.03,,,
Pop'n Music 14 Fever!,PS2,2007,Misc,0,0,0.03,0,0.03,,,
Golden Nugget Casino / Texas Hold 'Em Double Pack,GBA,2005,Misc,0.02,0.01,0,0,0.03,,,
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010,Role-Playing,0,0,0.03,0,0.03,,,
Lux-Pain (JP sales),DS,2008,Adventure,0,0,0.03,0,0.03,,,
Smashing Drive,GBA,2004,Racing,0.02,0.01,0,0,0.03,,,E
Away: Shuffle Dungeon,DS,2008,Role-Playing,0.02,0,0,0,0.03,65,,E10+
Big Mountain 2000,N64,1998,Sports,0.02,0.01,0,0,0.03,,,
Starshot: Space Circus Fever,N64,1998,Platform,0.02,0.01,0,0,0.03,,,
Charlie Blasts Territory,N64,1999,Action,0.02,0.01,0,0,0.03,,,
Senko no Ronde DUO,X360,2010,Fighting,0,0,0.03,0,0.03,,,
Knights of Honor,PC,2004,Strategy,0,0.02,0,0.01,0.03,77,9.1,E10+
CIMA: The Enemy,GBA,2003,Role-Playing,0.02,0.01,0,0,0.03,70,,E
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009,Adventure,0,0,0.03,0,0.03,,,
The Inner World,PC,2013,Adventure,0,0.03,0,0,0.03,72,8.1,
Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,2010,Fighting,0,0,0.03,0,0.03,,,
Code Geass: Hangyaku no Lelouch,DS,2007,Action,0,0,0.03,0,0.03,,,
Terraria,WiiU,2016,Action,0,0.03,0,0,0.03,,6.9,T
Hudson x GReeeeN Live!? DeeeeS!?,DS,2010,Misc,0,0,0.03,0,0.03,,,
Daibakushou: Jinsei Gekijou,SNES,1995,Misc,0,0,0.03,0,0.03,,,
Marble Madness / Klax,GBA,2005,Puzzle,0.02,0.01,0,0,0.03,,,E
Downstream Panic!,PSP,2008,Action,0.03,0,0,0,0.03,,,
Suzumiya Haruhi no Chokuretsu,DS,2009,Adventure,0,0,0.03,0,0.03,,,
DJ Max Portable 3,PSP,2010,Misc,0.01,0,0.02,0,0.03,,4.6,E10+
Boot Camp Academy,Wii,2010,Action,0.03,0,0,0,0.03,,,E10+
The Idolmaster: Gravure For You! Vol. 5,PS3,2012,Misc,0,0,0.03,0,0.03,,,
S.Y.K Renshouden,PS2,2010,Adventure,0,0,0.03,0,0.03,,,
Empire Earth II,PC,2005,Strategy,0,0.03,0,0,0.03,79,7.1,T
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011,Adventure,0,0,0.03,0,0.03,,,
Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,Action,0.03,0,0,0,0.03,58,,E
Nectaris: Military Madness,PS,1998,Strategy,0.02,0.01,0,0,0.03,,,
Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007,Strategy,0,0,0.03,0,0.03,,,
D.C.I.F.: Da Capo Innocent Finale,PS2,2009,Adventure,0,0,0.03,0,0.03,,,
Konpeki no Kantai,SNES,1995,Strategy,0,0,0.03,0,0.03,,,
Who Wants to be a Millionaire: 1st Edition,Wii,2007,Misc,0,0.03,0,0,0.03,,,
BRAHMA Force: The Assault on Beltlogger 9,PS,1996,Shooter,0.02,0.01,0,0,0.03,,,
Tenka-bito,PS2,2006,Strategy,0,0,0.03,0,0.03,,,
Hot Pixel,PSP,2007,Puzzle,0.03,0,0,0,0.03,55,6.5,T
Doodle Hex,DS,2008,Puzzle,0,0.03,0,0,0.03,68,,
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015,Role-Playing,0,0,0.03,0,0.03,,,
Valentino Rossi: The Game,XOne,2016,Racing,0.01,0.02,0,0,0.03,74,8.1,E
Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009,Action,0,0,0.03,0,0.03,,,
Codename: Panzers Cold War,PC,2009,Strategy,0,0.02,0,0,0.03,67,5.8,T
Samurai Spirits: Tenkaichi Kenkakuden,PS2,N/A,Fighting,0,0,0.03,0,0.03,,,
Robo Pit,PS,1995,Fighting,0.02,0.01,0,0,0.03,,,
Story Hour: Adventures,Wii,2008,Adventure,0.03,0,0,0,0.03,,,E
Muv-Luv Alternative: Total Eclipse,PS3,2013,Simulation,0,0,0.03,0,0.03,,,
R-Type III: The Third Lightning,GBA,2004,Shooter,0.02,0.01,0,0,0.03,46,,E
Star Wars: The Force Unleashed II,PC,2010,Action,0.03,0,0,0,0.03,59,5.8,T
Heathcliff! The Fast and the Furriest,Wii,2010,Racing,0.03,0,0,0,0.03,,,E
Darius Burst: Chronicle Saviours,PSV,2016,Action,0,0,0.03,0,0.03,,,
Blokus Portable: Steambot Championship,PSP,2006,Puzzle,0.03,0,0,0,0.03,51,,E
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,0,0,0.03,0,0.03,,,
Hakuouki,PS2,2008,Adventure,0,0,0.03,0,0.03,,,
Atomic Betty,GBA,2005,Puzzle,0.02,0.01,0,0,0.03,62,7.5,E
"Princess Natasha: Student, Secret Agent, Princess",DS,2006,Action,0.03,0,0,0,0.03,,,
Doom,PC,1992,Shooter,0.02,0,0,0,0.03,85,8.2,M
Robin Hood: Defender of the Crown,XB,2003,Strategy,0.02,0.01,0,0,0.03,57,,T
Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,0,0,0.03,0,0.03,,,
Street Jam Basketball,GBA,2004,Sports,0.02,0.01,0,0,0.03,35,8,E
Armored Core: Last Raven Portable,PSP,2010,Simulation,0,0,0.03,0,0.03,,,T
Master of Monsters: Disciples of Gaia,PS,1997,Strategy,0.02,0.01,0,0,0.03,,,
SD Gundam: Gashapon Wars,Wii,2010,Strategy,0,0,0.03,0,0.03,,,
Curious George,XB,2006,Action,0.02,0.01,0,0,0.03,57,,E
Disney's Aladdin,GBA,2003,Platform,0.02,0.01,0,0,0.03,59,,E
Virtual Pool: Tournament Edition,XB,2005,Sports,0.02,0.01,0,0,0.03,62,,E
Phantasy Star Online 2: Episode 3 Deluxe Package,PSV,2015,Action,0,0,0.03,0,0.03,,,
SimCity,PC,1988,Simulation,0,0.02,0,0.01,0.03,64,2.2,E10+
Nippon no Asoko de,PSP,2008,Misc,0,0,0.03,0,0.03,,,
Harry Potter and the Half-Blood Prince,PC,2009,Action,0,0.03,0,0,0.03,64,6.1,E10+
Higurashi no Naku Koro ni Iki,PSV,2015,Action,0,0,0.03,0,0.03,,,
Harley-Davidson: Road Trip,Wii,2010,Racing,0.03,0,0,0,0.03,,,E
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,2015,Role-Playing,0.01,0.01,0.01,0,0.03,,,
MapleStory DS,DS,2010,Role-Playing,0,0,0.03,0,0.03,,,
Playmobil Top Agents,DS,2010,Action,0,0.03,0,0,0.03,,,E10+
Doom 3 BFG Edition,PC,2012,Shooter,0,0.02,0,0,0.03,59,5.3,M
Pimp My Ride: Street Racing,DS,2009,Racing,0.03,0,0,0,0.03,,,E
Romance of the Three Kingdoms II,3DS,2015,Strategy,0,0,0.03,0,0.03,,,
Popeye: Rush for Spinach,GBA,2005,Platform,0.02,0.01,0,0,0.03,48,4.2,E
Culdcept,PS2,2002,Strategy,0.01,0.01,0,0,0.03,78,8.9,T
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996,Role-Playing,0,0,0.03,0,0.03,,,
Bladestorm: Nightmare,PS3,2015,Action,0,0,0.03,0,0.03,,7.4,T
BeatMania IIDX 15: DJ Troopers,PS2,2008,Simulation,0,0,0.03,0,0.03,,,
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011,Misc,0,0,0.03,0,0.03,,,
Planet of the Apes,GBA,2001,Action,0.02,0.01,0,0,0.03,54,,E
OZMAFIA!! -vivace-,PSV,2015,Adventure,0,0,0.03,0,0.03,,,
Drake & Josh: Talent Showdown,DS,2007,Adventure,0.03,0,0,0,0.03,,,
Hissatsu Pachinko Collection 3,SNES,1995,Misc,0,0,0.03,0,0.03,,,
Real World Golf,XB,2006,Sports,0.02,0.01,0,0,0.03,74,,E
Kung Fu Panda: Showdown of Legendary Legends,3DS,2015,Action,0,0.03,0,0,0.03,,,E10+
Oumagatoki: Kaidan Romance,PSP,2012,Action,0,0,0.03,0,0.03,,,
GTR Evolution,PC,2008,Racing,0,0.02,0,0,0.03,83,8.2,E
Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,0,0,0.03,0,0.03,,,
Hayate no Gotoku! Nightmare Paradise,PSP,2009,Adventure,0,0,0.03,0,0.03,,,
Lords of the Fallen,PC,2014,Role-Playing,0,0.03,0,0,0.03,73,6.9,M
NBA 08,PSP,2007,Sports,0.03,0,0,0,0.03,75,7.5,E
Sins of a Solar Empire,PC,2008,Strategy,0,0.02,0,0,0.03,87,8.2,T
New Tokyo Legacy: Operation Babel,PSV,2015,Role-Playing,0,0,0.03,0,0.03,,,
The Wolf Among Us,X360,2011,Adventure,0.01,0.02,0,0,0.03,83,7.7,
HappinessCharge PreCure! Kawarun Collection,3DS,2014,Misc,0,0,0.03,0,0.03,,,
Nanashi no Game Me,DS,2009,Action,0,0,0.03,0,0.03,,,
NBA 2K13,PC,2012,Sports,0,0.02,0,0,0.03,90,6.8,E
Resident Evil 4,PC,2007,Action,0,0.02,0,0,0.03,76,7.4,M
DICE: DNA Integrated Cybernetic Enterprises,PS2,2005,Shooter,0.01,0.01,0,0,0.03,48,,E10+
007: Quantum of Solace,PC,2008,Action,0.01,0.01,0,0,0.03,70,6.3,T
Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,DS,2007,Action,0,0,0.03,0,0.03,,,
Megpoid the Music#,PSP,2013,Misc,0,0,0.03,0,0.03,,,
Batman: A Telltale Game Series,XOne,2016,Adventure,0.02,0.01,0,0,0.03,,4.3,M
Wallace & Gromit in Project Zoo,XB,2003,Platform,0.02,0.01,0,0,0.03,,,
Boulder Dash: Rocks!,DS,2007,Puzzle,0,0.03,0,0,0.03,,,
Grid Runner,PS,1996,Action,0.02,0.01,0,0,0.03,,,
Saihai no Yukue,DS,2008,Strategy,0,0,0.03,0,0.03,,,
Metal Dungeon,XB,2002,Role-Playing,0.02,0.01,0,0,0.03,44,7.2,T
Drome Racers,GC,2003,Racing,0.02,0.01,0,0,0.03,54,6.6,E
World of Zoo,PC,2009,Simulation,0,0.02,0,0.01,0.03,,8.4,E
Guitar Freaks V & DrumMania V,PS2,2006,Simulation,0,0,0.03,0,0.03,,,
Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,DS,2009,Adventure,0,0,0.03,0,0.03,,,
Royal Palace of White Sword and The City of Gentiles,PC,2009,Role-Playing,0,0.02,0,0,0.03,,,
Triple Pack: Xbox Live Arcade Compilation,X360,2011,Misc,0.03,0,0,0,0.03,,,T
Gekido Advance: Kintaro's Revenge,GBA,2002,Action,0.02,0.01,0,0,0.03,70,7,T
Dream Pinball 3D,DS,2008,Misc,0.03,0,0,0,0.03,,,E10+
Future Tactics: The Uprising,XB,2004,Strategy,0.02,0.01,0,0,0.03,61,,
Winter Sports 3: The Great Tournament,PS3,2010,Sports,0,0.02,0,0.01,0.03,,,E
Power Poke Dash,GBA,2006,Sports,0,0,0.03,0,0.03,,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,Misc,0,0,0.03,0,0.03,,,
Detective Opera: Milky Holmes 2,PSP,2012,Adventure,0,0,0.03,0,0.03,,,
Nisekoi: Yomeiri!?,PSV,2014,Adventure,0,0,0.03,0,0.03,,,
Blaze Union: Story to Reach the Future,PSP,2010,Role-Playing,0,0,0.03,0,0.03,,,
Barbie and Her Sisters Puppy Rescue,Wii,2015,Action,0,0.03,0,0,0.03,,,E
Handball 16,PS3,2015,Sports,0,0.02,0,0,0.03,,,E
Commander: Conquest of the Americas,PC,2010,Strategy,0,0.02,0,0,0.03,68,5.2,T
World of Tanks,X360,N/A,Shooter,0,0.03,0,0,0.03,,5.2,
LEGO Pirates of the Caribbean: The Video Game,PC,2011,Action,0.03,0,0,0,0.03,73,6.6,E10+
Race Driver 2006,PSP,2006,Racing,0.03,0,0,0,0.03,81,8.5,T
Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010,Adventure,0,0,0.03,0,0.03,,,
Samurai Warriors: Sanada Maru,PS4,2016,Action,0,0,0.03,0,0.03,,,
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,Action,0.02,0.01,0,0,0.03,44,8.6,T
Battlefield 1942: The WW II Anthology,PC,2004,Shooter,0.01,0.01,0,0,0.03,,,
Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,0,0,0.03,0,0.03,,,
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011,Misc,0,0,0.03,0,0.03,,,
Parfait,PSV,2015,Adventure,0,0,0.03,0,0.03,,,
Mighty No. 9,WiiU,2016,Platform,0.02,0.01,0,0,0.03,48,4.6,E10+
Roadsters,PS,2000,Racing,0.02,0.01,0,0,0.03,,,
Merv Griffin's Crosswords,DS,2008,Puzzle,0.03,0,0,0,0.03,,,
DeathSmiles II,X360,2010,Shooter,0,0,0.03,0,0.03,,,
The Great Mystery Hidden Object Package 5,PC,2015,Adventure,0,0.03,0,0,0.03,,,
Kenka Bancho Otome,PSV,2016,Action,0,0,0.03,0,0.03,,,
Calcio Bit,GBA,2006,Sports,0,0,0.03,0,0.03,,,
Star Trek: The Game,PC,2013,Action,0,0.02,0,0,0.03,,,
Whiteout,XB,2002,Racing,0.02,0.01,0,0,0.03,58,,T
Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,0,0,0.03,0,0.03,,,
Kung Fu Panda: Legendary Warriors,DS,2008,Action,0.02,0,0,0,0.03,73,,E10+
Hyakumanton no Bara Bara,PSP,2010,Strategy,0,0,0.03,0,0.03,,,
Superdimension Neptune vs Sega Hard Girls,PSV,2016,Role-Playing,0,0.02,0,0.01,0.03,73,8.4,T
The Talos Principle,PS4,2015,Puzzle,0,0.02,0,0,0.03,88,8.4,E10+
Hajime no Ippo: The Fighting,GBA,2002,Fighting,0,0,0.03,0,0.03,,,
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,2010,Adventure,0,0,0.03,0,0.03,,,
Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,Role-Playing,0.03,0,0,0,0.03,47,8.2,T
Syberia II,XB,2004,Adventure,0.02,0.01,0,0,0.03,71,8.7,T
Motor Trend presents Lotus Challenge,XB,2003,Racing,0.02,0.01,0,0,0.03,61,,E
Braid,PC,2009,Platform,0,0.02,0,0,0.03,90,8.6,E10+
Gudetama: Hanjuku de Tanomuwa,3DS,2015,Action,0,0,0.03,0,0.03,,,
LEGO Legends of Chima: Laval's Journey,DS,2013,Adventure,0,0.03,0,0,0.03,,,E10+
Bleach DS 4th: Flame Bringer,DS,2009,Action,0,0,0.03,0,0.03,,,
Syberia,PC,2002,Action,0,0.02,0,0,0.03,82,8.5,T
Pacific Liberator,Wii,2009,Action,0.03,0,0,0,0.03,,,T
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,DS,2009,Adventure,0,0,0.03,0,0.03,,,
The King of Fighters Portable '94~'98: Chapter of Orochi,PSP,2010,Fighting,0,0,0.03,0,0.03,,,
Puzzle Challenge: Crosswords and More!,Wii,2009,Puzzle,0.03,0,0,0,0.03,,,
Turn It Around,DS,2006,Action,0.03,0,0,0,0.03,39,4.5,E
Nisenochigiri: Omoide no Saki e,PSP,2011,Adventure,0,0,0.03,0,0.03,,,
Jack Keane,PC,2008,Adventure,0,0.02,0,0,0.03,69,7,T
Girls Only,DS,2010,Simulation,0.03,0,0,0,0.03,,,
Monsters vs. Aliens,PC,2009,Action,0.01,0.01,0,0,0.03,63,6.2,E10+
In Cold Blood,PS,2000,Adventure,0.02,0.01,0,0,0.03,,,
Fireblade,GC,2002,Action,0.02,0.01,0,0,0.03,,,T
Kamigami no Asobi,PSP,2013,Adventure,0,0,0.03,0,0.03,,,
Harukanaru Toki no Naka de 6,PSV,2015,Action,0,0,0.03,0,0.03,,,
Kong: King of Atlantis,GBA,2005,Action,0.02,0.01,0,0,0.03,,,E
Kidou Senshi V Gundam,SNES,1994,Action,0,0,0.03,0,0.03,,,
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,2005,Action,0,0,0.03,0,0.03,,,
Wrestle Angels: Survivor 2,PS2,2008,Fighting,0,0,0.03,0,0.03,,,
Onechanbara Z Kagura,X360,2012,Action,0,0,0.03,0,0.03,,,
Ride,PC,2015,Racing,0,0.03,0,0,0.03,68,4.8,E
The King of Fighters 02/03,XB,2005,Fighting,0.02,0.01,0,0,0.03,76,,T
ESPN Winter X Games: Snowboarding 2002,XB,2002,Sports,0.02,0.01,0,0,0.03,71,,T
Mega Minis Volume 2,PSP,2011,Misc,0,0.02,0,0.01,0.03,,,
Safari Adventures: Africa,DS,2008,Adventure,0.03,0,0,0,0.03,,,E
Tsuku Monogatari,PSP,2011,Adventure,0,0,0.03,0,0.03,,,
Vitamin Z,PS2,2009,Adventure,0,0,0.03,0,0.03,,,
Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011,Adventure,0,0,0.03,0,0.03,,,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,2010,Adventure,0,0,0.03,0,0.03,,,
Battle vs. Chess,PC,N/A,Misc,0,0.02,0,0,0.03,69,5.9,T
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,2012,Role-Playing,0,0,0.03,0,0.03,,,
The Island of Dr. Frankenstein,Wii,2009,Adventure,0.03,0,0,0,0.03,26,,E
Tom and Jerry in War of the Whiskers,XB,N/A,Fighting,0.02,0.01,0,0,0.03,,,
Nobunaga no Yabou DS 2,DS,2008,Strategy,0,0,0.03,0,0.03,,,
The IdolM@ster: Gravure For You! Vol. 6,PS3,2012,Action,0,0,0.03,0,0.03,,,
Metal Saga: Hagane no Kisetsu,DS,2006,Role-Playing,0,0,0.03,0,0.03,,,
Animaniacs: The Great Edgar Hunt,GC,2005,Platform,0.02,0.01,0,0,0.03,65,,E
SingStar Fussballhits,PS3,2010,Misc,0,0.02,0,0.01,0.03,,,
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016,Adventure,0,0,0.03,0,0.03,,,
Dream Club Zero Portable,PSV,2011,Simulation,0,0,0.03,0,0.03,,,
LEGO Harry Potter: Years 1-4,PC,2010,Action,0.02,0.01,0,0,0.03,79,7.9,E10+
Samurai Warriors 2,PS3,2013,Action,0,0,0.03,0,0.03,,,
Bus Simulator 16,PC,2016,Simulation,0,0.03,0,0,0.03,46,6.1,
Mystery Trackers: The Void,PC,2011,Puzzle,0,0.02,0,0,0.03,,,
Diabolik Lovers: Lunatic Parade,PSV,2016,Adventure,0,0,0.03,0,0.03,,,
Battle Arena Toshinden URA,SAT,1995,Fighting,0,0,0.03,0,0.03,,,
The Croods: Prehistoric Party!,WiiU,2013,Misc,0.01,0.01,0,0,0.03,,,
Betty Boop's Double Shift,DS,2007,Puzzle,0.03,0,0,0,0.03,,,E
Battle vs. Chess,X360,2011,Misc,0,0.02,0,0,0.03,,,T
Biohazard: Revival Selection,X360,2011,Action,0,0,0.03,0,0.03,,,
