Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,1.87,1.96,0.22,0.48,4.53,,,
Madden NFL 2005,PS2,2004,Sports,4.18,0.26,0.01,0.08,4.53,91,7.9,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,3.19,0.91,0.01,0.42,4.53,85,7.9,T
Pitfall!,2600,1981,Platform,4.21,0.24,0,0.05,4.5,,,
Madden NFL 07,PS2,2006,Sports,3.63,0.24,0.01,0.61,4.49,84,8.2,E
Halo 5: Guardians,XOne,2015,Shooter,2.78,1.27,0.03,0.41,4.48,84,6.4,T
Spider-Man: The Movie,PS2,2002,Action,2.71,1.51,0.03,0.23,4.48,76,7.9,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,0.2,0.14,4.1,0.02,4.47,,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,1.61,2,0.15,0.71,4.46,77,3.4,M
God of War,PS2,2005,Action,2.71,1.29,0.02,0.43,4.45,94,8.9,M
Splatoon,WiiU,2015,Shooter,1.54,1.18,1.46,0.26,4.43,81,8.5,E10+
Nintendo Land,WiiU,2012,Misc,2.52,1.11,0.46,0.33,4.42,77,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,2.66,1.29,0.01,0.46,4.41,97,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,0.1,2.39,1.05,0.86,4.39,86,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,2.82,1.03,0.13,0.4,4.38,94,8.7,M
Zelda II: The Adventure of Link,NES,1987,Adventure,2.19,0.5,1.61,0.08,4.38,,,
Need for Speed: Most Wanted,PS2,2005,Racing,2.03,1.79,0.08,0.47,4.37,82,9.1,T
Michael Jackson: The Experience,Wii,2010,Misc,2.64,1.33,0.01,0.39,4.36,56,8.3,E10+
Call of Duty: Advanced Warfare,PS3,2014,Shooter,1.56,1.93,0.19,0.68,4.36,,4.8,M
Resistance: Fall of Man,PS3,2006,Shooter,1.74,1.72,0.14,0.75,4.34,86,8.1,M
Sonic the Hedgehog,GEN,1991,Platform,3.03,0.91,0.26,0.13,4.34,,,
Kingdom Hearts II,PS2,2005,Role-Playing,2.2,0.58,1.38,0.17,4.33,87,9,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,2.09,1.31,0.62,0.31,4.33,,,
Super Mario 3D World,WiiU,2013,Platform,2.11,1.16,0.73,0.32,4.32,93,9,E
Minecraft,PS4,2014,Misc,1.48,2.02,0.14,0.68,4.32,,,
Asteroids,2600,1980,Shooter,4,0.26,0,0.05,4.31,,,
Call of Duty: Advanced Warfare,X360,2014,Shooter,2.77,1.11,0,0.4,4.29,,4.9,M
FIFA 15,PS3,2014,Sports,0.58,3.02,0.04,0.64,4.28,,4.5,E
Fable II,X360,2008,Role-Playing,2.51,1.24,0.11,0.41,4.27,89,6.5,M
Namco Museum,GBA,2001,Misc,3,1.11,0.05,0.07,4.24,79,7.3,E
Batman: Arkham Asylum,PS3,2009,Action,2.24,1.31,0.07,0.61,4.23,91,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,1.46,0,0.83,1.93,4.23,91,9.3,M
Assassin's Creed: Revelations,PS3,2011,Action,1.41,2.01,0.1,0.7,4.22,80,7.5,M
Fallout 4,XOne,2015,Role-Playing,2.51,1.32,0.01,0.38,4.22,88,6.2,M
FIFA 14,X360,2013,Sports,0.92,2.89,0.01,0.4,4.22,84,4.2,E
Daxter,PSP,2006,Platform,2.45,1.01,0,0.75,4.21,85,8.7,E10+
Warcraft II: Tides of Darkness,PC,1995,Strategy,1.7,2.27,0,0.23,4.21,,,
FIFA Soccer 06,PS2,2005,Sports,0.78,2.55,0.04,0.84,4.21,80,7.8,E
EyeToy Play,PS2,2003,Misc,0.88,2.3,0.2,0.83,4.2,80,7.5,E
Gran Turismo 5 Prologue,PS3,2007,Racing,1.28,1.82,0.57,0.52,4.19,80,7.1,E
